name,type,year,movieLength,genres,rating.kp,rating.imdb,rating.filmCritics,rating.russianFilmCritics,rating.await,votes.kp,votes.imdb,votes.filmCritics,votes.russianFilmCritics,votes.await,budget.currency,budget.value,premiere.country,premiere.digital,premiere.cinema,premiere.bluray,premiere.dvd,premiere.russia,premiere.world,fees.russia.value,fees.russia.currency,fees.usa.value,fees.usa.currency,fees.world.value,fees.world.currency,distributors.distributor,distributors.distributorRelease,fees.russia,fees.usa,fees.world
1+1,movie,2011,112.0,"[{'name': 'драма'}, {'name': 'комедия'}]",8.846,8.5,6.8,100.0,,2431363,966636,128,12,0,€,9500000.0,,,,2012-06-25T00:00:00.000Z,2012-05-28T00:00:00.000Z,2012-04-26T00:00:00.000Z,2011-09-23T00:00:00.000Z,1725813.0,$,10198820.0,$,426588510.0,$,,,,,
Джентльмены,movie,2019,113.0,"[{'name': 'криминал'}, {'name': 'комедия'}, {'name': 'боевик'}]",8.626,7.8,6.6,86.3636,,2145499,427468,278,22,0,$,22000000.0,,2020-03-31T00:00:00.000Z,,,,2020-02-13T00:00:00.000Z,2019-12-03T00:00:00.000Z,18003343.0,$,36471795.0,$,115171795.0,$,,,,,
Брат,movie,1997,96.0,"[{'name': 'драма'}, {'name': 'криминал'}, {'name': 'боевик'}]",8.338,7.8,7.6,0.0,,1572786,26162,5,2,0,,,,,,,2007-08-30T00:00:00.000Z,1997-12-12T00:00:00.000Z,1997-05-17T00:00:00.000Z,,,,,1362281.0,$,,,,,
Гнев человеческий,movie,2021,119.0,"[{'name': 'боевик'}, {'name': 'триллер'}]",7.668,7.1,6.3,72.2222,,1548405,221419,260,36,0,$,40000000.0,,2021-06-04T00:00:00.000Z,,,,2021-04-22T00:00:00.000Z,2021-04-22T00:00:00.000Z,13318455.0,$,27466489.0,$,103966489.0,$,,,,,
Волк с Уолл-стрит,movie,2013,180.0,"[{'name': 'драма'}, {'name': 'криминал'}, {'name': 'биография'}, {'name': 'комедия'}]",8.033,8.2,7.8,77.4194,,1460341,1660210,284,31,0,$,100000000.0,,,,2014-12-04T00:00:00.000Z,2014-12-04T00:00:00.000Z,2014-02-06T00:00:00.000Z,2013-12-09T00:00:00.000Z,13796916.0,$,116900694.0,$,392000694.0,$,,,,,
Холоп 2,movie,2023,119.0,[{'name': 'комедия'}],7.159,5.7,0.0,40.0,,1299618,1021,0,10,0,₽,768000000.0,,2024-03-08T00:00:00.000Z,,,,2024-01-01T00:00:00.000Z,,44459991.0,$,,,,,,,,,
Зеленая книга,movie,2018,130.0,"[{'name': 'биография'}, {'name': 'комедия'}, {'name': 'драма'}]",8.517,8.2,7.2,93.3333,,1277785,621397,362,15,0,$,23000000.0,,2019-02-25T00:00:00.000Z,,,,2019-01-24T00:00:00.000Z,2018-09-11T00:00:00.000Z,9319859.0,$,85080171.0,$,321752656.0,$,,,,,
По щучьему велению,movie,2023,115.0,"[{'name': 'фэнтези'}, {'name': 'приключения'}, {'name': 'семейный'}]",7.757,6.2,0.0,0.0,,1263019,804,0,2,0,,,,,,,,2023-10-26T00:00:00.000Z,2023-11-24T00:00:00.000Z,28757189.0,$,,,,,,,,,
Достать ножи,movie,2019,130.0,"[{'name': 'детектив'}, {'name': 'комедия'}, {'name': 'драма'}, {'name': 'криминал'}]",8.15,7.9,8.3,89.4737,,1251521,808111,471,19,0,$,40000000.0,,2020-02-20T00:00:00.000Z,,,,2019-11-28T00:00:00.000Z,2019-09-07T00:00:00.000Z,6288706.0,$,165363234.0,$,312897920.0,$,,,,,
Один дома,movie,1990,103.0,"[{'name': 'комедия'}, {'name': 'семейный'}]",8.279,7.7,5.9,0.0,,1229126,690373,116,0,0,$,18000000.0,,,,,2005-12-13T00:00:00.000Z,1993-12-27T00:00:00.000Z,1990-11-10T00:00:00.000Z,,,285761243.0,$,476684675.0,$,,Гемини-Фильм,,,
