Название,Год выпуска,Длительность,Жанры,Рейтинг КиноПоиск,Рейтинг IMDB,Рейтинг кинокритиков,Рейтинг российских кинокритиков,Голоса КиноПоиск,Голоса IMDB,Голоса кинокритиков,Голоса российских кинокритиков,Бюджет,Дата премьеры в России,Дата премьеры в мире,Мировые кассовые сборы
1+1,2011,112.0,"['драма', 'комедия']",8.846,8.5,6.8,100.0,2431363,966636,128,12,10355000.0,2012-04-26T00:00:00.000Z,2011-09-23T00:00:00.000Z,426588510.0
Джентльмены,2019,113.0,"['криминал', 'комедия', 'боевик']",8.626,7.8,6.6,86.3636,2145499,427468,278,22,22000000.0,2020-02-13T00:00:00.000Z,2019-12-03T00:00:00.000Z,115171795.0
Брат,1997,96.0,"['драма', 'криминал', 'боевик']",8.338,7.8,7.6,0.0,1572786,26162,5,2,112164013.0,1997-12-12T00:00:00.000Z,1997-05-17T00:00:00.000Z,1362281.0
Гнев человеческий,2021,119.0,"['боевик', 'триллер']",7.668,7.1,6.3,72.2222,1548405,221419,260,36,40000000.0,2021-04-22T00:00:00.000Z,2021-04-22T00:00:00.000Z,103966489.0
Волк с Уолл-стрит,2013,180.0,"['драма', 'криминал', 'биография', 'комедия']",8.033,8.2,7.8,77.4194,1460341,1660210,284,31,100000000.0,2014-02-06T00:00:00.000Z,2013-12-09T00:00:00.000Z,392000694.0
Холоп 2,2023,119.0,['комедия'],7.159,5.7,0.0,40.0,1299618,1021,0,10,9216000.0,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z,112164013.0
Зеленая книга,2018,130.0,"['биография', 'комедия', 'драма']",8.517,8.2,7.2,93.3333,1277785,621397,362,15,23000000.0,2019-01-24T00:00:00.000Z,2018-09-11T00:00:00.000Z,321752656.0
По щучьему велению,2023,115.0,"['фэнтези', 'приключения', 'семейный']",7.757,6.2,0.0,0.0,1263019,804,0,2,112164013.0,2023-10-26T00:00:00.000Z,2023-11-24T00:00:00.000Z,112164013.0
Достать ножи,2019,130.0,"['детектив', 'комедия', 'драма', 'криминал']",8.15,7.9,8.3,89.4737,1251521,808111,471,19,40000000.0,2019-11-28T00:00:00.000Z,2019-09-07T00:00:00.000Z,312897920.0
Один дома,1990,103.0,"['комедия', 'семейный']",8.279,7.7,5.9,0.0,1229126,690373,116,0,18000000.0,1993-12-27T00:00:00.000Z,1990-11-10T00:00:00.000Z,476684675.0
Брат 2,2000,127.0,"['боевик', 'криминал']",8.25,7.6,0.0,0.0,1204445,18503,0,1,1500000.0,2000-05-11T00:00:00.000Z,2000-08-30T00:00:00.000Z,543825.0
Остров проклятых,2009,138.0,"['триллер', 'детектив', 'драма']",8.545,8.2,6.7,85.7143,1172974,1531958,263,7,80000000.0,2010-02-18T00:00:00.000Z,2010-02-13T00:00:00.000Z,294804195.0
Иван Васильевич меняет профессию,1973,88.0,"['комедия', 'фантастика', 'приключения']",8.79,8.2,0.0,0.0,1157005,19266,0,0,112164013.0,1973-09-17T00:00:00.000Z,1973-09-17T00:00:00.000Z,112164013.0
Аватар,2009,162.0,"['фантастика', 'боевик', 'драма', 'приключения']",7.982,7.9,7.5,76.9231,1122440,1420175,334,13,237000000.0,2009-12-17T00:00:00.000Z,2009-12-10T00:00:00.000Z,2923706026.0
Бойцовский клуб,1999,139.0,"['триллер', 'драма', 'криминал']",8.673,8.8,7.4,0.0,1111940,2430330,185,2,63000000.0,2000-01-13T00:00:00.000Z,1999-09-10T00:00:00.000Z,100853753.0
Операция «Ы» и другие приключения Шурика,1965,95.0,"['комедия', 'мелодрама', 'криминал']",8.73,8.4,0.0,0.0,1095752,15479,0,0,112164013.0,1965-07-23T00:00:00.000Z,1965-07-23T00:00:00.000Z,112164013.0
Холоп,2019,109.0,"['комедия', 'мелодрама']",7.173,6.6,0.0,60.0,1081698,5940,0,10,1920000.0,2019-12-26T00:00:00.000Z,2019-11-24T00:00:00.000Z,50263878.0
Побег из Шоушенка,1994,142.0,['драма'],9.109,9.3,8.3,0.0,1067212,3006077,146,2,25000000.0,2019-10-24T00:00:00.000Z,1994-09-10T00:00:00.000Z,28418687.0
Переводчик,2022,123.0,"['боевик', 'триллер', 'военный', 'история', 'драма']",7.889,7.5,6.8,75.0,1051589,185624,118,20,55000000.0,2023-06-01T00:00:00.000Z,2023-04-19T00:00:00.000Z,21948551.0
Гарри Поттер и философский камень,2001,152.0,"['фэнтези', 'приключения', 'семейный']",8.287,7.7,7.0,0.0,1041093,894751,202,2,125000000.0,2002-03-21T00:00:00.000Z,2001-11-04T00:00:00.000Z,1024392020.0
Интерстеллар,2014,169.0,"['фантастика', 'драма', 'приключения']",8.653,8.7,7.1,80.6452,1040407,2281773,375,31,165000000.0,2014-11-06T00:00:00.000Z,2014-10-26T00:00:00.000Z,736546575.0
Зеленая миля,1999,189.0,"['драма', 'фэнтези', 'криминал']",9.076,8.6,6.8,66.6667,1026948,1468037,136,3,60000000.0,2000-04-18T00:00:00.000Z,1999-12-06T00:00:00.000Z,286801374.0
Начало,2010,148.0,"['фантастика', 'боевик', 'триллер', 'драма', 'детектив']",8.667,8.8,8.2,80.9524,1026097,2651597,368,21,160000000.0,2010-07-22T00:00:00.000Z,2010-07-08T00:00:00.000Z,828322032.0
Легенда,2015,131.0,"['криминал', 'триллер', 'драма']",7.242,6.9,5.9,76.9231,1020493,211532,171,13,30000000.0,2015-10-01T00:00:00.000Z,2015-09-03T00:00:00.000Z,42972994.0
Любовь и голуби,1984,107.0,"['мелодрама', 'комедия']",8.29,7.9,0.0,0.0,1003495,5713,0,0,112164013.0,1985-01-07T00:00:00.000Z,1985-01-07T00:00:00.000Z,112164013.0
Пираты Карибского моря: Проклятие Черной жемчужины,2003,143.0,"['фэнтези', 'боевик', 'приключения']",8.38,8.1,7.1,0.0,1002950,1252234,219,2,140000000.0,2003-08-20T00:00:00.000Z,2003-06-28T00:00:00.000Z,654264015.0
Батя,2020,76.0,"['комедия', 'мелодрама']",7.755,6.7,0.0,100.0,977260,1684,0,8,112164013.0,2021-02-23T00:00:00.000Z,2021-02-23T00:00:00.000Z,112164013.0
Веном,2018,112.0,"['фантастика', 'боевик', 'триллер', 'ужасы']",6.936,6.6,4.5,41.1765,943110,569819,364,17,100000000.0,2018-10-04T00:00:00.000Z,2018-10-01T00:00:00.000Z,856085151.0
Форрест Гамп,1994,142.0,"['драма', 'комедия', 'мелодрама', 'история', 'военный']",8.921,8.8,7.8,0.0,942522,2351465,158,1,55000000.0,2020-02-13T00:00:00.000Z,1994-06-23T00:00:00.000Z,677387716.0
Анора,2024,139.0,"['драма', 'мелодрама', 'комедия']",6.485,7.6,8.5,75.0,935169,146008,334,28,6000000.0,2024-10-17T00:00:00.000Z,2024-05-21T00:00:00.000Z,51868503.0
Области тьмы,2011,105.0,"['триллер', 'драма', 'фантастика']",8.019,7.4,6.3,75.0,932194,625633,201,8,26000000.0,2011-03-17T00:00:00.000Z,2011-03-08T00:00:00.000Z,161849455.0
